day_of_year,hist_solar_irradiation_global_doy_mean,hist_solar_irradiation_global_doy_median,hist_solar_irradiation_global_doy_std,hist_solar_irradiation_global_doy_count,hist_wind_speed_global_doy_mean,hist_wind_speed_global_doy_median,hist_wind_speed_global_doy_std,hist_wind_speed_global_doy_count
91,5.773378497202239,6.060250000000001,1.5588637732086392,139,2.4400960214324305,2.4875000000000003,0.9387465265537751,139
92,5.509889249639249,5.8685,1.5609638711747151,154,2.2858911722552238,2.2854166666666664,0.8886371567243401,154
93,5.580468932748538,5.86163888888889,1.455057489597237,152,2.3827489279464644,2.35625,0.8987835359784629,152
94,5.3253943001443,5.561791666666666,1.4539467201023193,154,2.3110464290771437,2.17481884057971,0.8686962398848823,154
95,5.4882435064935065,5.762583333333334,1.5904219380888203,154,2.2372660749011293,2.1083333333333334,0.8820955042751484,154
96,5.301821608946609,5.701083333333333,1.6150111341894406,154,2.3308134055451584,2.3270833333333334,0.8454862619451458,154
97,5.226919372294373,5.554833333333333,1.6875756791854966,154,2.3453618421856706,2.2666666666666666,0.8707047170671509,154
98,5.089935483870968,5.473444444444444,1.6106394196861906,155,2.4266534416733245,2.308333333333333,0.8691059153474527,155
99,5.184292207792208,5.566333333333333,1.5429749858339739,154,2.4853294569944766,2.3916666666666666,0.9562890257240189,154
100,5.380943181818182,5.577472222222222,1.5638324876683616,154,2.5159089267976418,2.49375,0.9523718923686622,154
101,5.089311648745519,5.333222222222222,1.5830883065616914,155,2.531657822464274,2.4791666666666665,0.9761950148885199,155
102,4.968089247311828,5.180777777777777,1.7057575686381818,155,2.5297503245608177,2.4541666666666666,0.9922777099904028,155
103,4.8650893550893555,5.097611111111111,1.6747440053450509,143,2.4088477287134578,2.4380952380952383,0.9394245210480667,143
104,5.3525689143341815,5.503472222222222,1.3235331627003921,131,2.453834884691589,2.433333333333333,0.9519863406553097,131
105,5.149105769230769,5.422819444444444,1.543887267625023,130,2.460199658846112,2.4458333333333333,0.9425023654644715,130
106,5.318358333333333,5.574666666666667,1.4594413836825157,130,2.4756744240059456,2.4416666666666664,0.9127896833867377,130
107,5.1713114927905,5.459083333333334,1.6248482416097205,131,2.4720532718010317,2.6125000000000003,0.9481928421538901,131
108,5.120145038167939,5.439027777777778,1.5668822755471046,131,2.5760412821583714,2.658333333333333,0.9207657785867892,131
109,5.0187169211195926,5.405333333333333,1.5482947939762843,131,2.611003192514975,2.6166666666666667,0.9797690668978326,131
110,5.102839906700593,5.332194444444445,1.4823173498127644,131,2.506544056337598,2.4166666666666665,0.959214280782875,131
111,5.146216921119593,5.329833333333334,1.4811734738351892,131,2.449860717289709,2.3000000000000003,0.9884510227734409,131
112,4.708034188034189,5.005763888888889,1.602528867331389,130,2.5753513315441237,2.5166666666666666,1.0120630952031133,130
113,4.870690415606446,5.051166666666667,1.4200658915563913,131,2.53629954577808,2.458333333333333,0.9480609599247236,131
114,4.877292204995693,5.187305555555556,1.523161655788578,129,2.534256788599559,2.5708333333333333,0.9271157382156648,129
