station_code,month,hist_solar_irradiation_station_month_mean,hist_solar_irradiation_station_month_median,hist_solar_irradiation_station_month_std,hist_solar_irradiation_station_month_count,hist_wind_speed_station_month_mean,hist_wind_speed_station_month_median,hist_wind_speed_station_month_std,hist_wind_speed_station_month_count
A307,11,4.70777013888889,5.251055555555555,2.4686611165848604,520,3.5890559862016023,3.593181818181818,0.7534023085699821,520
A307,12,4.564881763733995,5.038180555555555,2.3524277423205455,538,3.3133622469376403,3.377083333333333,0.7921890820982475,538
A309,1,5.784045886075949,6.053597222222223,1.3923512222782357,474,3.2670399507602412,3.3208333333333333,0.8161881901806822,474
A309,2,5.5429855429292925,5.833944444444445,1.561634392352648,440,3.1008765521926613,3.0875,0.7854169730056132,440
A309,3,5.754308654970759,5.865888888888889,1.321729993875098,475,2.826599428895539,2.7916666666666665,0.7774914246005934,475
A309,4,5.280363930885529,5.488,1.2821726020378046,463,2.8677752296905297,2.891666666666667,0.7470315140829167,463
A309,5,4.571301754385965,4.7676388888888885,1.2926481139333115,475,3.0208105306338715,3.0434782608695654,0.7900425742517281,475
A309,6,4.35413724824621,4.452361111111111,1.217572219544342,491,3.2687897375436954,3.2458333333333336,0.7763431681481353,491
A309,7,4.521143436335744,4.5805,1.2327039096754364,507,3.44559535084322,3.425,0.8062570380830769,507
A309,8,5.091584716459198,5.322527777777777,1.3529313405476133,482,3.4440981295777187,3.455,0.8518665201934915,482
A309,9,5.8861404867256635,6.275166666666667,1.3098390417403765,452,3.615266948897249,3.68125,0.7892816007849878,452
A309,10,6.105485416666666,6.582083333333333,1.4489125637957245,480,3.6942495103072077,3.7958333333333334,0.8952699229511101,480
A309,11,6.0752113966214605,6.501722222222223,1.4742780859268432,467,3.572016727847334,3.6291666666666655,0.8365799513583411,467
A309,12,5.744547297297298,6.180972222222223,1.4469262722510716,481,3.368898523320772,3.4458333333333333,0.7520738395632881,481
A322,1,5.5211911001911,5.833694444444444,1.5377526635018997,407,2.465713427584535,2.716666666666667,1.453934114783786,407
A322,2,5.520213881636206,5.766833333333333,1.3902179643068362,383,2.2142732467139323,2.5500000000000003,1.4181500874467459,383
A322,3,5.5949032372066725,5.734222222222223,1.4113429659183527,393,2.3078648139654176,2.5375,1.3426525599570363,393
A322,4,5.123037242798354,5.271305555555556,1.2543420654664843,405,2.1575703608433074,2.220833333333333,1.0380557285805683,405
A322,5,4.335939903846154,4.371986111111111,1.3290475557348351,416,1.853107515220287,1.9333333333333331,0.9838041171998586,416
A322,6,4.112279936672424,4.1142916666666665,1.3307835577480995,386,1.8878806706871758,1.9708333333333328,0.9780959319906675,386
A322,7,4.012376573617953,3.933861111111111,1.3930286318422773,406,1.9237030774951591,2.029166666666667,0.9772521119858675,406
A322,8,4.450562484394506,4.6608888888888895,1.6551478520451546,445,1.8838410585692684,2.12,1.0721390355259512,445
A322,9,5.354187387734155,5.556111111111111,1.3090706991727479,433,2.315057268006848,2.5083333333333333,1.1600546112576684,433
A322,10,5.8269059159830965,5.884361111111112,1.2262449709679517,447,2.6978909405479614,2.829166666666667,1.3014798341738019,447
A322,11,6.224317901234567,6.386222222222223,1.2610592146804034,432,3.118815409987692,3.3270833333333334,1.5047551247216069,432
A322,12,5.799254754754755,6.097736111111111,1.5618472460831732,444,2.774999351352789,2.9625,1.4854370096347225,444
A328,1,5.675495149911817,5.946097222222223,1.325729552719193,378,3.43565497429298,3.7375,1.398700756573701,378
A328,2,5.834150680595124,6.111611111111111,1.186604158519682,351,3.3262647370744824,3.5583333333333336,1.2902676174806114,351
A328,3,5.861278205128205,6.1372638888888895,1.257608745366613,390,3.0592765210540147,3.2333333333333334,1.2992689532947639,390
A328,4,5.547860484544695,5.7515,1.1631698588456514,399,2.79017917473793,3.0,1.2416021417837346,399
A328,5,5.08866002710027,5.286611111111112,1.1384259851350396,410,2.646382843855802,2.9020833333333336,1.2950585086910418,410
A328,6,4.799754664438875,4.966027777777778,1.19326785814749,399,2.784063108665266,2.9875000000000003,1.2768872736409573,399
A328,7,4.6577979489269214,4.751611111111111,1.2202062335200197,409,2.9255513742013157,3.1958333333333333,1.296184345284165,409
