day_of_year,hist_solar_irradiation_global_doy_mean,hist_solar_irradiation_global_doy_median,hist_solar_irradiation_global_doy_std,hist_solar_irradiation_global_doy_count,hist_wind_speed_global_doy_mean,hist_wind_speed_global_doy_median,hist_wind_speed_global_doy_std,hist_wind_speed_global_doy_count
74,5.79166282051282,5.92025,1.5355372856026808,130,2.6972280099127923,2.7625,0.9631395587667104,130
75,5.802282945736434,6.023444444444445,1.5473110878347183,129,2.6267608800217492,2.5875,0.9939982199853736,129
76,5.374351282051282,5.606458333333333,1.6857496624507557,130,2.4965161468965817,2.4125,0.9404717383495911,130
77,5.56271217948718,5.883180555555556,1.738390944757138,130,2.445364722996302,2.46875,0.9812302044379688,130
78,5.492825854700855,5.679861111111111,1.6039079318352576,130,2.2557098413095855,2.125,0.8532659821232954,130
79,5.426073643410852,5.523722222222222,1.633843699794878,129,2.280330843462795,2.1875,0.8009914473325054,129
80,5.487170327304048,5.795611111111112,1.691907655306982,129,2.329317994573303,2.379166666666667,0.8595685654278771,129
81,5.576231912144703,5.945611111111111,1.525045856755152,129,2.413031513850656,2.375,0.8904376833488893,129
82,5.694282299741602,5.941666666666666,1.4952078270210911,129,2.5124597593733085,2.466666666666667,0.9016564976130451,129
83,5.675553402239449,6.114861111111111,1.5690554394785634,129,2.5249841873476857,2.5375,0.8636884484436405,129
84,5.687094530577089,6.021916666666667,1.6033086774729086,129,2.429887399455293,2.4791666666666665,0.8462344786018123,129
85,5.574712673611111,5.779,1.5877134774070571,128,2.398219850718202,2.4479166666666665,0.8159127871393782,128
86,5.565258680555556,5.9876249999999995,1.6140012657584595,128,2.3769943352522325,2.3164772727272727,0.8743071930349234,128
87,5.530979383680555,5.741652777777778,1.571565441958958,128,2.3774559098229626,2.2243055555555555,0.9223653447196442,128
88,5.322999354005168,5.536611111111111,1.448997851906477,129,2.3796334990829577,2.25,0.9033920922739587,129
89,5.3085187338501285,5.388027777777778,1.476247160311273,129,2.4876157579596883,2.4541666666666666,0.9328957419702028,129
90,5.591360243055556,5.909430555555556,1.632562646710011,128,2.531181575712379,2.503273809523809,0.94952590900392,128
91,5.845029715762274,6.1686250000000005,1.5066854151621267,172,2.4273286581691536,2.4416666666666664,0.984699704622216,172
92,5.669701955782314,6.021083333333333,1.523304197232315,196,2.3378554156934745,2.3187499999999996,0.9073921716411659,196
93,5.593954685746352,5.8232083333333335,1.4286229673857245,198,2.435878735186067,2.39375,0.9652181489569539,198
94,5.324107202680066,5.546638888888889,1.441902106431198,199,2.2428770495565975,2.154166666666667,0.8944323194922893,199
95,5.219610409652076,5.472833333333334,1.5831044953703672,198,2.160219584339778,2.0791666666666666,0.9048180001817011,198
96,4.941520277777778,5.274472222222222,1.6694851314513932,200,2.344687804326363,2.314583333333333,0.8596951630277062,200
97,4.88825139586823,4.9995,1.6949078088950325,199,2.372951094798921,2.279166666666667,0.9235376359454345,199
98,4.903751823793491,5.179597222222222,1.6123816991486226,198,2.4570694323430122,2.3743659420289855,0.8744526027458465,198
99,5.094239031339031,5.435333333333333,1.4866649030982484,195,2.5692189295608587,2.520833333333333,0.956191175803149,195
100,5.65192160180485,5.872194444444445,1.5544978468007695,197,2.5545958385182694,2.558333333333333,0.9854668156747438,197
101,5.158225042301185,5.36975,1.7099022943932007,197,2.4889514123165637,2.4791666666666665,0.9874315127484334,197
102,5.160786422902494,5.321180555555555,1.7387178845856404,196,2.5186415214037012,2.4291666666666667,1.0430773280919683,196
103,4.946444625998548,5.170166666666668,1.6795078051280252,153,2.386274916985335,2.308333333333333,0.9364258367328486,153
